 ,Image Link,Design Name, ,SKU Code,,Size,UOM,QTY,CP,remarks,CP/QTY,Total CP,SP,Margin,New SKU Name,,Type,,Finish,Color,,Length,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Coconut Toran,,,10,,,,,,,,Flowers,Real,Coconut Toran,green,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Kamini (Real),,,50,,,,,,,,Flowers,Real,Kamini,White,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Asparagus Ferns,,,500,,,,,,,,Flowers,Real,Fern,green,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Marigold Yellow strings,,,20,,,,,,,,Flowers,Real,Marigold,Yellow,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Marigold Orange strings,,,20,,,,,,,,Flowers,Real,Marigold,Orange,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,tuberose eelaka end marigold 1ft,,,180,,,,,,,,Flowers,Real,Tuberose,White,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Milky White Rose (Real),,,60,,,,,,,,Flowers,Real,Rose,White,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Red Rose (Real),,,60,,,,,,,,Flowers,Real,Rose,Red,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Real Flowers,,Baby Pink Rose (Real),,,60,,,,,,,,Flowers,Real,Rose,Pink,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,Binding Wire,,,12,,,,,,,,Hardware,Binding Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,Fish Wire,,,4,,,,,,,,Hardware,Fish Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,Oasis Brick,,,30,,,,,,,,Hardware,Oasis Brick,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,Cello Tape 4inch,,,2,,,,,,,,Hardware,Adhesive,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,Tool kit,,,1,,,,,,,,Hardware,Tool Kit,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,Black Mesh Net,,,4,,,,,,,,Hardware,Mesh Net,Black,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,Ball Pins - (Packet of 100),,,5,,,,,,,,Hardware,Ball Pin,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Hardware,,broom stick,,,60,,,,,,,,Hardware,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
3,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,Ivory  embrace ,Structures,,box stande 12ft,,,4,,,,,,,,Structures,Standee,12 Feet,box,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Structures,,box stande 8ft,,,8,,,,,,,,Structures,Standee,8 Feet,box,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Structures,,box stande 4ft,,,2,,,,,,,,Structures,Standee,4 Feet,box,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Structures,,box stande 2ft,,,8,,,,,,,,Structures,Standee,2 Feet,box,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Structures,,box stande 1ft,,,8,,,,,,,,Structures,Standee,1 Feet ,box,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Fabric,,Jute,,,72,,,,,,,,Fabric,jute,High quality,brown,brown,multi-use,72,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Fabric,,Printed Fabric,,,30,,,,,,,,Fabric,chiffon,High quality,plain,white,multi-use,30,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Fabric,,Crepe High Quality,,,30,,,,,,,,Fabric,crepe,High quality,plain,white,multi-use,30,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Furniture,,Mandap Chair- 1 seater,,,6,,,,,,,,Furniture,mandap chair (Mane),NA,wood,1 seater,Cushion,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Real Flowers,,White Baby's Breath (Real),,,120,,,,,,,,Flowers,Real,baby's breath,White,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Real Flowers,,White Rose (Real),,,30,,,,,,,,Flowers,Real,Rose,White,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Real Flowers,,Song of india,,,8,,,,,,,,Flowers,Real,song of India,green,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Real Flowers,,Kamini (Real),,,24,,,,,,,,Flowers,Real,Kamini,White,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Real Flowers,,Asparagus Ferns,,,60,,,,,,,,Flowers,Real,Fern,green,lot ,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Hardware,,Ball Pins - (Packet of 100),,,4,,,,,,,,Hardware,Ball Pin,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Hardware,,Binding Wire,,,4,,,,,,,,Hardware,Binding Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Hardware,,Fish Wire,,,2,,,,,,,,Hardware,Fish Wire,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Hardware,,Oasis Brick,,,50,,,,,,,,Hardware,Oasis Brick,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Hardware,,Cello Tape 4inch,,,1,,,,,,,,Hardware,Adhesive,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Hardware,,Tool kit,,,1,,,,,,,,Hardware,Tool Kit,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Hardware,,Black Mesh Net,,,6,,,,,,,,Hardware,Mesh Net,Black,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Platform,,Platform 1 feet height,20x20,sft,1,,,,,,,,Platform,20*20 feet,step,flex,no skirting,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Platform,,Single Step,,,2,,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,,Platform,,fabric skiting,60x1,,1,,,,,,,,,,,,,,,,
